,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
4747,F34163,3388,C,2.0,2021-02-10 13:54:42.310,2021-02-10,2021-02-03 00:00:00,2021-02-10,2021-02-19,22695.000000000004,0.0,0.0
4763,F34179,6777,C,2.0,2021-02-12 10:50:19.760,2021-02-12,2021-02-12 00:00:00,2021-02-12,2021-02-26,120.00000000000001,0.0,0.0
4846,F34262,5644,C,2.0,2021-02-19 09:49:44.273,2021-02-19,2021-02-19 00:00:00,2021-02-19,2021-02-19,4990.0,0.0,0.0
4881,F34297,4675,C,6.0,2021-02-23 11:50:42.130,2021-02-23,2021-01-22 00:00:00,2021-03-25,2021-06-03,8918.000000000002,0.0,0.0
4916,F34332,5926,C,2.0,2021-02-24 16:19:49.490,2021-02-24,2020-08-03 00:00:00,2021-02-24,2021-02-25,1160.0,0.0,0.0
4964,F34380,5918,C,6.0,2021-03-01 12:46:02.387,2021-03-01,2021-03-01 00:00:00,2021-03-01,2021-03-30,1417.5000000000002,0.0,0.0
5066,F34482,6451,C,3.0,2021-03-10 10:46:00.413,2021-03-10,2021-03-10 00:00:00,2021-03-18,2021-03-11,4250.0,0.0,0.0
5076,F34492,8282,C,2.0,2021-03-10 16:28:29.813,2021-03-10,2021-03-10 00:00:00,2021-03-10,2021-03-16,2655.6000000000004,0.0,0.0
5230,F34646,8297,C,2.0,2021-03-29 11:12:01.023,2021-03-29,2021-03-29 00:00:00,2021-03-29,2021-03-30,700.8620000000001,0.0,0.0
5410,F34826,5926,C,2.0,2021-04-20 10:36:09.097,2021-04-20,2021-04-09 00:00:00,2021-04-20,2021-04-23,4805.900000000001,0.0,0.0
5454,F34870,1965,C,2.0,2021-04-23 09:30:52.877,2021-04-23,2021-04-23 00:00:00,2021-05-23,2021-04-26,2563.75,303.56,0.0
5456,F34872,1965,C,2.0,2021-04-23 09:36:28.683,2021-04-23,2021-04-23 00:00:00,2021-05-23,2021-04-26,1888.75,202.31,0.0
5475,F34891,6941,C,6.0,2021-04-26 13:50:05.223,2021-04-26,2021-03-30 00:00:00,2021-05-26,2021-04-28,5962.500000000001,0.0,0.0
5488,F34904,4082,C,2.0,2021-04-27 16:38:32.773,2021-04-27,2021-04-27 00:00:00,2021-04-27,2021-04-28,250.00000000000003,0.0,0.0
5530,F34946,5926,C,2.0,2021-04-30 16:51:25.650,2021-04-30,2021-04-15 00:00:00,2021-04-30,2021-04-30,1878.2150000000001,0.0,0.0
5531,F34947,5926,C,2.0,2021-04-30 16:57:34.837,2021-04-30,2021-04-23 00:00:00,2021-04-30,2021-07-26,733.21,0.0,0.0
5544,F34960,8257,C,6.0,2021-05-04 12:17:47.163,2021-05-04,2021-03-23 00:00:00,2021-05-04,2021-07-06,8796.0,0.0,0.0
5557,F34973,2316,C,2.0,2021-05-04 16:45:50.803,2021-05-04,2021-05-04 00:00:00,2021-05-04,2021-05-04,2079.0,0.0,0.0
5593,F35009,6451,C,3.0,2021-05-11 08:17:19.063,2021-05-11,2021-05-04 00:00:00,2021-05-19,2021-05-11,5250.0,0.0,0.0
5654,F35070,3228,C,2.0,2021-05-18 10:29:22.557,2021-05-18,2021-05-13 00:00:00,2021-06-17,2021-05-18,2379.6820000000002,0.0,0.0
5672,F35088,8109,C,2.0,2021-05-19 14:07:39.810,2021-05-19,2021-05-19 00:00:00,2021-05-19,2021-05-19,914.4,0.0,0.0
5678,F35094,5650,C,2.0,2021-05-19 16:04:11.097,2021-05-19,2021-03-08 00:00:00,2021-05-19,2021-05-20,1435.0,0.0,0.0
5687,F35103,4539,C,2.0,2021-05-20 14:28:54.603,2021-05-20,2021-05-20 00:00:00,2021-05-20,2021-05-20,2642.6450000000004,0.0,0.0
5695,F35111,3571,C,3.0,2021-05-21 08:55:38.983,2021-05-21,2021-05-20 00:00:00,2021-06-20,2021-05-24,1030.9080000000001,0.0,0.0
5740,F35156,2837,C,2.0,2021-05-26 08:19:01.460,2021-05-26,2021-05-26 00:00:00,2021-05-26,2021-05-26,409.7056,0.0,0.0
5744,F35160,2837,C,2.0,2021-05-26 09:48:09.890,2021-05-26,2021-05-26 00:00:00,2021-05-26,2021-05-27,409.7056,0.0,0.0
5789,F35205,4527,C,2.0,2021-05-31 14:15:27.783,2021-05-31,2021-06-07 00:00:00,2021-05-31,2021-05-31,34364.0,0.0,0.0
5799,F35215,6895,C,2.0,2021-05-31 17:27:47.660,2021-05-31,2021-05-31 00:00:00,2021-05-31,2021-06-02,340.45680000000004,0.0,0.0
5816,F35232,3630,C,2.0,2021-06-02 12:58:48.790,2021-06-02,2021-06-02 00:00:00,2021-06-17,2021-06-03,120.00000000000001,0.0,0.0
5820,F35236,2221,C,2.0,2021-06-02 14:20:22.313,2021-06-02,2021-06-02 00:00:00,2021-06-02,2021-06-03,480.00000000000006,0.0,0.0
5828,F35244,4563,C,2.0,2021-06-03 14:04:45.417,2021-06-03,2021-05-24 00:00:00,2021-06-11,2021-06-03,6671.552800000001,0.0,0.0
5853,F35269,6169,C,2.0,2021-06-08 17:05:57.940,2021-06-08,2021-06-08 00:00:00,2021-06-08,2021-06-09,294.5,0.0,0.0
5887,F35303,8366,C,2.0,2021-06-11 16:03:44.947,2021-06-11,2021-06-11 00:00:00,2021-06-11,2021-06-11,227.50000000000003,0.0,0.0
5953,F35369,5106,C,2.0,2021-06-21 16:54:13.523,2021-06-21,2021-06-21 00:00:00,2021-06-21,2021-06-22,504.00000000000006,0.0,0.0
5956,F35372,9,C,2.0,2021-06-22 09:22:29.127,2021-06-22,2021-06-15 00:00:00,2021-07-22,2021-06-24,1900.0000000000002,0.0,0.0
5970,F35386,8379,C,2.0,2021-06-23 14:45:50.337,2021-06-23,2021-06-23 00:00:00,2021-06-23,2021-06-24,500.0,0.0,0.0
6021,F35437,8288,C,2.0,2021-06-29 15:13:25.697,2021-06-29,2021-06-29 00:00:00,2021-06-29,2021-06-29,7862.500000000001,0.0,0.0
6072,F35488,6572,C,6.0,2021-07-02 16:29:30.713,2021-07-02,2021-07-02 00:00:00,2021-07-05,2021-07-02,1428.0000000000002,0.0,0.0
6084,F35500,5926,C,2.0,2021-07-06 11:04:22.523,2021-07-06,2021-06-14 00:00:00,2021-07-06,2021-07-06,3782.3972200000003,0.0,0.0
6085,F35501,5926,C,2.0,2021-07-06 11:13:12.370,2021-07-06,2021-06-14 00:00:00,2021-07-06,2021-07-06,3114.2054000000003,0.0,0.0
6091,F35507,1539,C,3.0,2021-07-06 13:14:45.053,2021-07-06,2021-06-24 00:00:00,2021-08-05,2021-07-26,17850.0,0.0,0.0
6133,F35549,8257,C,6.0,2021-07-12 11:56:50.573,2021-07-12,2021-07-12 00:00:00,2021-08-11,2021-07-14,5684.000000000001,0.0,0.0
6201,F35617,5484,C,2.0,2021-07-20 16:55:08.783,2021-07-20,2021-07-20 00:00:00,2021-07-20,2021-07-20,2187.63,0.0,0.0
6244,F35660,3686,C,2.0,2021-07-26 13:07:04.963,2021-07-26,2021-07-23 00:00:00,2021-08-10,2021-07-26,3319.5,0.0,0.0
6364,F35780,5926,C,3.0,2021-08-06 08:58:28.570,2021-08-06,2021-08-06 00:00:00,2021-08-06,2021-08-06,192.50000000000003,0.0,0.0
6397,F35813,8377,C,2.0,2021-08-11 16:46:23.127,2021-08-11,2021-08-11 00:00:00,2021-08-11,2021-08-11,2615.36,0.0,0.0
6446,F35862,5926,C,2.0,2021-08-17 08:26:37.050,2021-08-17,2021-03-29 00:00:00,2021-08-17,2021-08-17,752.46,0.0,0.0
6452,F35868,5968,C,1.0,2021-08-17 12:19:25.357,2021-08-17,2021-08-17 00:00:00,2021-09-16,2021-08-17,350.00000000000006,0.0,0.0
6498,F35914,5926,C,2.0,2021-08-20 17:22:27.683,2021-08-20,2021-08-20 00:00:00,2021-08-20,2021-08-23,599.1432000000001,0.0,0.0
6509,F35925,8432,C,2.0,2021-08-23 15:00:58.187,2021-08-23,2021-08-23 00:00:00,2021-08-23,2021-08-23,649.0,0.0,0.0
6607,F36023,5573,C,6.0,2021-09-01 09:29:00.490,2021-09-01,2021-08-24 00:00:00,2021-10-01,2021-09-01,1650.0,0.0,0.0
6720,F36136,5926,C,2.0,2021-09-14 09:18:28.837,2021-09-14,2021-09-21 00:00:00,2021-09-14,2021-09-14,1931.19,0.0,0.0
6811,F36227,8458,C,2.0,2021-09-23 16:47:20.510,2021-09-23,2021-09-23 00:00:00,2021-09-23,2021-09-23,1650.0,0.0,0.0
6836,F36252,5569,C,3.0,2021-09-27 11:29:19.587,2021-09-27,2021-09-24 00:00:00,2021-09-27,2021-09-29,3270.59,0.0,0.0
6846,F36262,8464,C,2.0,2021-09-28 12:27:35.713,2021-09-28,2021-09-28 00:00:00,2021-09-28,2021-09-29,226.5328,0.0,0.0
6919,F36335,1852,C,2.0,2021-10-05 13:05:03.690,2021-10-05,2021-10-05 00:00:00,2021-11-04,2021-10-05,10863.6,0.0,0.0
6922,F36338,6828,C,2.0,2021-10-05 13:30:40.887,2021-10-05,2021-08-27 00:00:00,2021-10-05,2021-10-05,1799.8500000000001,0.0,0.0
6943,F36359,2390,C,2.0,2021-10-07 11:58:54.157,2021-10-07,2021-10-07 00:00:00,2021-11-21,2021-10-11,1200.0,0.0,0.0
6955,F36371,1485,C,2.0,2021-10-08 09:51:23.823,2021-10-08,2021-10-08 00:00:00,2021-10-08,2021-10-11,6460.000000000001,0.0,0.0
7133,F36549,8481,C,2.0,2021-10-29 16:50:53.997,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-10-29,431.038,0.0,0.0
7144,F36560,5926,C,2.0,2021-10-29 18:04:45.553,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-11-02,343.75800000000004,0.0,0.0
7152,F36568,8496,C,1.0,2021-11-03 10:31:23.073,2021-11-03,2021-11-02 00:00:00,2021-11-03,2021-11-03,425.00000000000006,0.0,0.0
7161,F36577,8496,C,1.0,2021-11-04 08:49:28.890,2021-11-04,2021-11-02 00:00:00,2021-11-04,2021-11-04,425.00000000000006,0.0,0.0
7211,F36627,8511,C,2.0,2021-11-10 08:51:50.983,2021-11-10,2021-11-10 00:00:00,2021-11-10,2021-11-10,5800.0,0.0,0.0
7242,F36658,6607,C,2.0,2021-11-12 10:46:40.210,2021-11-12,2021-10-29 00:00:00,2021-11-12,2021-11-12,4845.0,0.0,0.0
7249,F36665,5740,C,3.0,2021-11-12 13:25:09.010,2021-11-12,2021-11-08 00:00:00,2021-11-12,2021-11-12,5569.250000000001,0.0,0.0
7286,F36702,466,C,1.0,2021-11-18 12:08:44.457,2021-11-18,2021-11-12 00:00:00,2022-01-17,2021-11-18,42799.020000000004,0.0,0.0
7302,F36718,3926,C,1.0,2021-11-22 10:20:54.167,2021-11-22,2021-11-22 00:00:00,2021-12-22,2021-11-22,2904.0,0.0,0.0
7303,F36719,1016,C,3.0,2021-11-22 10:27:03.767,2021-11-22,2021-11-17 00:00:00,2021-12-22,2021-11-25,7500.017000000001,0.0,0.0
7386,F36802,8503,C,3.0,2021-11-30 13:28:51.043,2021-11-30,2021-11-26 00:00:00,2021-11-30,2021-11-30,14000.000000000002,0.0,0.0
7388,F36804,5926,C,2.0,2021-11-30 15:01:33.553,2021-11-30,2021-11-30 00:00:00,2021-11-30,2021-11-30,862.0690000000001,0.0,0.0
7408,F36824,5926,C,2.0,2021-11-30 17:29:52.050,2021-11-30,2021-11-30 00:00:00,2021-11-30,2021-12-01,889.6600000000001,0.0,0.0
7489,F36905,5926,C,2.0,2021-12-09 17:39:17.460,2021-12-09,2021-12-09 00:00:00,2021-12-09,2021-12-09,177.05760000000004,0.0,0.0
7520,F36936,8538,C,3.0,2021-12-16 11:43:10.613,2021-12-16,2021-12-16 00:00:00,2021-12-16,2021-12-16,18500.0,0.0,0.0
7538,F36954,8452,C,2.0,2021-12-17 15:34:03.533,2021-12-17,2021-12-17 00:00:00,2021-12-17,2021-12-20,2999.7204,0.0,0.0
7561,F36977,1965,C,3.0,2021-12-22 11:31:06.180,2021-12-22,2021-12-22 00:00:00,2022-01-21,2021-12-22,5150.0,772.5,0.0
7566,F36982,8523,C,1.0,2021-12-22 13:00:57.697,2021-12-22,2021-11-26 00:00:00,2022-01-21,2021-12-22,6620.599999999999,0.0,0.0
7629,F37045,8316,C,3.0,2022-01-05 12:20:29.950,2022-01-05,2022-01-05 00:00:00,2022-01-05,2022-02-02,316.91,0.0,0.0
7631,F37047,8316,C,2.0,2022-01-05 13:51:43.517,2022-01-05,2022-01-05 00:00:00,2022-01-05,2022-01-13,283.5,0.0,0.0
7659,F37075,2624,C,3.0,2022-01-07 13:33:53.190,2022-01-07,2022-01-07 00:00:00,2022-01-07,2022-01-25,1756.0400000000002,0.0,0.0
7720,F37136,8251,C,2.0,2022-01-18 14:14:52.287,2022-01-18,2022-01-18 00:00:00,2022-01-18,2022-01-18,1716.0,0.0,0.0
7780,F37196,8558,C,2.0,2022-01-26 12:43:17.550,2022-01-26,2022-01-26 00:00:00,2022-01-26,2022-01-26,1350.0,0.0,0.0
7809,F37225,3926,C,1.0,2022-01-31 11:22:00.883,2022-01-31,2022-01-31 00:00:00,2022-03-02,2022-01-31,2904.0,0.0,0.0
7835,F37251,3926,C,1.0,2022-02-01 14:32:31.330,2022-02-01,2022-01-31 00:00:00,2022-03-03,2022-02-01,2904.0,0.0,0.0
7864,F37280,361,C,2.0,2022-02-03 16:09:35.970,2022-02-03,2022-01-21 00:00:00,2022-02-03,2022-02-17,2483.25,0.0,0.0
7893,F37309,1965,C,2.0,2022-02-09 09:34:09.127,2022-02-09,2022-02-08 00:00:00,2022-03-11,2022-02-09,6625.5,993.83,0.0
7912,F37328,8574,C,2.0,2022-02-10 12:20:57.307,2022-02-10,2022-02-10 00:00:00,2022-02-10,2022-02-10,347.2875,0.0,0.0
7918,F37334,8523,C,1.0,2022-02-10 16:45:38.220,2022-02-10,2022-02-10 00:00:00,2022-03-12,2022-06-17,6620.599999999999,0.0,0.0
7944,F37360,8503,C,3.0,2022-02-14 17:33:46.920,2022-02-14,2022-02-14 00:00:00,2022-02-14,2022-02-14,14000.000000000002,0.0,0.0
7990,F37406,8260,C,3.0,2022-02-17 17:51:09.127,2022-02-17,2022-02-14 00:00:00,2022-02-17,2022-02-18,30589.125304999998,0.0,0.0
8015,F37431,6895,C,2.0,2022-02-22 11:43:28.807,2022-02-22,2022-02-22 00:00:00,2022-02-22,2022-02-22,6795.233000000001,0.0,0.0
8078,F37494,1943,C,2.0,2022-02-28 11:34:00.367,2022-02-28,2022-02-28 00:00:00,2022-02-28,2022-02-28,89.68,0.0,0.0
8080,F37496,7098,C,2.0,2022-02-28 11:39:58.423,2022-02-28,2022-02-15 00:00:00,2022-02-28,2022-02-28,2500.8,0.0,0.0
8081,F37497,1943,C,2.0,2022-02-28 12:05:42.377,2022-02-28,2022-02-28 00:00:00,2022-02-28,2022-02-28,89.68,0.0,0.0
8150,F37566,8602,C,2.0,2022-03-08 09:46:29.367,2022-03-08,2022-03-08 00:00:00,2022-03-08,2022-03-09,95.00000000000001,0.0,0.0
8205,F37621,5095,C,2.0,2022-03-15 09:31:10.310,2022-03-15,2022-03-15 00:00:00,2022-03-15,2022-03-15,385.0,0.0,0.0
8331,F37747,8625,C,2.0,2022-03-28 16:48:27.217,2022-03-28,2022-03-28 00:00:00,2022-03-28,2022-03-29,486.00000000000006,0.0,0.0
8349,F37765,8525,C,2.0,2022-03-30 13:48:52.253,2022-03-30,2022-02-24 00:00:00,2022-03-30,2022-03-30,387.93,0.0,0.0
8350,F37766,8525,C,2.0,2022-03-30 13:53:50.633,2022-03-30,2021-12-08 00:00:00,2022-03-30,2022-03-30,1020.0000000000001,0.0,0.0
8355,F37771,8630,C,2.0,2022-03-30 16:16:43.690,2022-03-30,2022-03-30 00:00:00,2022-03-30,2022-03-30,597.4200000000001,0.0,0.0
8541,F37957,3912,C,6.0,2022-04-22 15:48:10.587,2022-04-22,2022-04-22 00:00:00,2022-05-22,2022-04-28,1700.0000000000002,0.0,0.0
8586,F38002,2309,C,3.0,2022-04-27 14:23:32.617,2022-04-27,2022-04-15 00:00:00,2022-05-27,2022-04-27,39300.0,0.0,0.0
8675,F38091,2548,C,1.0,2022-05-05 13:43:43.307,2022-05-05,2022-05-05 00:00:00,2022-05-05,2022-05-11,25075.000000000004,0.0,0.0
8677,F38093,2548,C,1.0,2022-05-05 14:10:02.987,2022-05-05,2022-05-11 00:00:00,2022-05-05,2022-05-11,9940.0,0.0,0.0
8682,F38098,1982,C,2.0,2022-05-06 10:55:53.770,2022-05-06,2022-04-28 00:00:00,2022-05-06,2022-05-06,1350.0,0.0,0.0
8844,F38260,4557,C,2.0,2022-05-30 14:15:16.200,2022-05-30,2022-05-30 00:00:00,2022-05-30,2022-05-30,519.7,0.0,0.0
8876,F38292,8605,C,2.0,2022-06-01 17:57:40.150,2022-06-01,2022-05-30 00:00:00,2022-06-01,2022-06-02,775.6,0.0,0.0
8892,F38308,6289,C,2.0,2022-06-03 12:24:52.263,2022-06-03,2022-06-03 00:00:00,2022-06-03,2022-06-07,8600.0,0.0,0.0
8914,F38330,4558,C,2.0,2022-06-07 15:10:24.110,2022-06-07,2022-06-07 00:00:00,2022-06-07,2022-06-07,490.0,0.0,0.0
9000,F38416,8693,C,2.0,2022-06-20 12:54:05.333,2022-06-20,2022-06-20 00:00:00,2022-06-20,2022-06-20,620.0,0.0,0.0
9035,F38451,5926,C,2.0,2022-06-24 10:37:50.700,2022-06-24,2022-06-23 00:00:00,2022-06-24,2022-06-24,75.30000000000001,0.0,0.0
9102,F38518,1852,C,1.0,2022-07-04 13:35:36.653,2022-07-04,2022-07-04 00:00:00,2022-08-03,2022-07-04,5110.8486,0.0,0.0
9277,F38693,8712,C,2.0,2022-07-28 15:34:27.177,2022-07-28,2022-07-12 00:00:00,2022-07-28,2022-07-28,517.24,0.0,0.0
9341,F38757,8631,C,2.0,2022-08-08 11:24:21.917,2022-08-08,2022-08-08 00:00:00,2022-08-08,2022-08-11,145.0,0.0,0.0
9439,F38855,357,C,2.0,2022-08-19 10:04:03.223,2022-08-19,2022-08-12 00:00:00,2022-09-03,2022-08-19,1175.0,0.0,0.0
9444,F38860,4480,C,2.0,2022-08-19 12:32:34.127,2022-08-19,2022-08-17 00:00:00,2022-09-03,2022-08-22,155.0,0.0,0.0
9479,F38895,5833,C,2.0,2022-08-24 16:08:00.947,2022-08-24,2022-08-24 00:00:00,2022-08-24,2022-08-26,600.0,0.0,0.0
9515,F38931,1965,C,2.0,2022-08-29 14:09:28.927,2022-08-29,2022-08-29 00:00:00,2022-09-28,2022-08-30,732.7,109.91,0.0
9558,F38974,5458,C,2.0,2022-09-02 15:49:29.687,2022-09-02,2022-08-31 00:00:00,2022-09-02,2022-09-26,612.5,0.0,0.0
9584,F39000,2548,C,1.0,2022-09-07 12:06:47.467,2022-09-07,2022-09-09 00:00:00,2022-09-07,2022-09-08,4556.9,0.0,0.0
9615,F39031,1429,C,1.0,2022-09-12 11:55:01.737,2022-09-12,2022-09-12 00:00:00,2022-11-11,2022-09-26,6804.000000000001,0.0,0.0
9619,F39035,5416,C,2.0,2022-09-12 17:04:01.473,2022-09-12,2022-09-12 00:00:00,2022-09-12,2022-09-13,1572.2600000000002,0.0,0.0
9643,F39059,8649,C,2.0,2022-09-14 13:19:02.657,2022-09-14,2022-09-13 00:00:00,2022-09-14,2022-09-15,1848.9,0.0,0.0
9652,F39068,8488,C,2.0,2022-09-15 12:47:24.893,2022-09-15,2022-09-14 00:00:00,2022-09-15,2022-09-26,974.4,0.0,0.0
9750,F39166,6282,C,2.0,2022-09-28 10:05:19.127,2022-09-28,2022-09-28 00:00:00,2022-09-28,2022-09-28,675.0,0.0,0.0
9802,F39218,8766,C,2.0,2022-09-30 18:49:19.120,2022-09-30,2022-09-30 00:00:00,2022-09-30,2022-09-30,699.5000000000001,0.0,0.0
9812,F39228,8767,C,1.0,2022-10-03 09:26:55.620,2022-10-03,2022-10-03 00:00:00,2022-10-03,2022-10-03,965.4,0.0,0.0
9897,F39313,8503,C,3.0,2022-10-17 07:51:23.417,2022-10-17,2022-10-17 00:00:00,2022-10-17,2022-11-10,14000.000000000002,0.0,0.0
9903,F39319,7005,C,2.0,2022-10-17 16:17:01.500,2022-10-17,2022-10-14 00:00:00,2022-10-17,2022-10-17,4568.62,0.0,0.0
9914,F39330,4649,C,2.0,2022-10-18 14:49:08.747,2022-10-18,2022-10-18 00:00:00,2022-10-18,2022-10-18,1425.0,0.0,0.0
9921,F39337,5926,C,2.0,2022-10-19 10:11:33.577,2022-10-19,2022-10-19 00:00:00,2022-10-19,2022-10-19,674.6543,0.0,0.0
9976,F39392,4958,C,2.0,2022-10-25 12:24:45.543,2022-10-25,2022-10-25 00:00:00,2022-10-25,2022-10-25,366.40000000000003,0.0,0.0
10076,F39492,8246,C,1.0,2022-11-04 10:39:25.693,2022-11-04,2022-11-04 00:00:00,2022-11-19,2022-11-04,17450.0,0.0,0.0
10088,F39504,4623,C,2.0,2022-11-07 10:00:53.553,2022-11-07,2022-10-20 00:00:00,2022-11-07,2022-11-07,5132.3,0.0,0.0
10092,F39508,8449,C,2.0,2022-11-07 12:21:45.367,2022-11-07,2022-11-07 00:00:00,2022-11-07,2022-11-07,399.00000000000006,0.0,0.0
10105,F39521,5923,C,1.0,2022-11-08 14:34:05.157,2022-11-08,2022-11-08 00:00:00,2022-11-08,2022-11-08,350.00000000000006,0.0,0.0
10164,F39580,8503,C,3.0,2022-11-15 17:59:47.733,2022-11-15,2022-11-15 00:00:00,2022-11-15,2022-11-16,14000.000000000002,0.0,0.0
10204,F39620,4712,C,2.0,2022-11-24 10:33:22.060,2022-11-24,2022-09-28 00:00:00,2023-01-08,2022-11-24,19962.2,0.0,0.0
10210,F39626,8801,C,2.0,2022-11-24 13:04:25.170,2022-11-24,2022-11-24 00:00:00,2022-11-24,2022-11-24,5309.11,0.0,0.0
10222,F39638,8449,C,2.0,2022-11-25 14:51:11.537,2022-11-25,2022-11-25 00:00:00,2022-11-25,2022-11-25,661.6971000000001,0.0,0.0
10292,F39708,8699,C,2.0,2022-12-07 10:14:17.687,2022-12-07,2022-12-07 00:00:00,2022-12-07,2022-12-07,248.28,0.0,0.0
10293,F39709,6483,C,2.0,2022-12-07 10:23:49.843,2022-12-07,2022-12-06 00:00:00,2022-12-07,2022-12-07,864.6625,0.0,0.0
10294,F39710,4467,C,2.0,2022-12-07 10:27:14.223,2022-12-07,2022-12-06 00:00:00,2022-12-07,2022-12-07,120.0,0.0,0.0
10295,F39711,3931,C,2.0,2022-12-07 12:36:24.287,2022-12-07,2022-11-29 00:00:00,2022-12-07,2022-12-07,1500.7993000000001,0.0,0.0
10299,F39715,2029,C,1.0,2022-12-07 14:09:36.257,2022-12-07,2022-12-02 00:00:00,2022-12-22,2022-12-07,41731.58,0.0,0.0
10367,F39783,6603,C,6.0,2022-12-16 17:26:59.580,2022-12-16,2022-12-16 00:00:00,2022-12-16,2022-12-16,760.0000000000001,0.0,0.0
10373,F39789,1690,C,6.0,2022-12-19 16:45:39.337,2022-12-19,2022-12-19 00:00:00,2022-12-19,2022-12-21,699.0,0.0,0.0
10380,F39796,1690,C,6.0,2022-12-20 17:21:38.807,2022-12-20,2022-12-19 00:00:00,2022-12-20,2022-12-20,76.16000000000001,0.0,0.0
10423,F39839,6839,C,2.0,2022-12-23 16:36:02.357,2022-12-23,2023-01-04 00:00:00,2022-12-23,2022-12-23,5190.84,0.0,0.0
10435,F39851,8818,C,3.0,2023-01-03 14:30:04.693,2023-01-03,2022-12-20 00:00:00,2023-01-03,2023-01-03,79955.0,0.0,0.0
10436,F39852,8818,C,3.0,2023-01-03 16:24:28.577,2023-01-03,2022-12-20 00:00:00,2023-01-03,2023-01-04,80544.0,0.0,0.0
10439,F39855,8818,C,3.0,2023-01-04 11:42:03.967,2023-01-04,2023-01-04 00:00:00,2023-01-04,2023-01-06,80544.0,0.0,0.0
10520,F39936,8763,C,2.0,2023-01-18 11:51:49.263,2023-01-18,2023-01-18 00:00:00,2023-01-18,2023-01-18,735.0000000000001,0.0,0.0
10540,F39956,5472,C,2.0,2023-01-20 11:25:19.853,2023-01-20,2023-01-12 00:00:00,2023-01-20,2023-02-20,90456.66,0.0,0.0
10555,F39971,8397,C,2.0,2023-01-23 15:34:34.627,2023-01-23,2023-01-23 00:00:00,2023-01-23,2023-01-24,3985.56,0.0,0.0
10665,F40081,5923,C,2.0,2023-02-03 12:15:33.373,2023-02-03,2023-01-25 00:00:00,2023-02-03,2023-02-07,1870.8,0.0,0.0
10671,F40087,2483,C,2.0,2023-02-07 11:40:15.027,2023-02-07,2023-02-03 00:00:00,2023-02-07,2023-02-07,550.0,0.0,0.0
10677,F40093,5936,C,2.0,2023-02-07 14:19:08.020,2023-02-07,2023-02-07 00:00:00,2023-03-09,2023-02-09,903.073,0.0,0.0
10680,F40096,8708,C,6.0,2023-02-07 16:41:23.167,2023-02-07,2023-02-07 00:00:00,2023-02-28,2023-02-08,19790.0,0.0,0.0
10720,F40136,6381,C,2.0,2023-02-14 13:17:22.143,2023-02-14,2023-02-14 00:00:00,2023-02-14,2023-02-14,4172.0,0.0,0.0
10823,F40239,5416,C,2.0,2023-02-24 16:32:26.607,2023-02-24,2023-02-23 00:00:00,2023-02-24,2023-02-24,3815.4400000000005,0.0,0.0
